,experiment462,experiment461,experiment460,experiment459,experiment458,experiment457,experiment456,experiment455,experiment454,experiment453,experiment452,experiment451,experiment450,experiment449,experiment448,experiment447,experiment446,experiment445,experiment444,experiment443,experiment442,experiment441,experiment440,experiment439,experiment438,experiment437,experiment436,experiment435,experiment434,experiment433,experiment432,experiment431,experiment430,experiment429,experiment428,experiment427,experiment426,experiment425,experiment424,experiment423,experiment422,experiment421,experiment420,experiment419,experiment418,experiment417,experiment416,experiment415,experiment414,experiment413,experiment412,experiment411,experiment410,experiment409,experiment408,experiment407,experiment406,experiment405,experiment404,experiment403,experiment402,experiment401,experiment400,experiment399,experiment398,experiment397,experiment396,experiment395,experiment394,experiment393,experiment392,experiment391,experiment390,experiment389,experiment388,experiment387,experiment386,experiment385,experiment384,experiment383,experiment382,experiment381,experiment380,experiment379,experiment378,experiment377,experiment376,experiment375,experiment374,experiment373,experiment372,experiment371,experiment370,experiment369,experiment368,experiment367,experiment366,experiment365,experiment364,experiment363,experiment362,experiment361,experiment360,experiment359,experiment358,experiment357,experiment356,experiment355,experiment354,experiment353,experiment352,experiment351,experiment350,experiment349,experiment348,experiment347,experiment346,experiment345,experiment344,experiment343,experiment342,experiment341,experiment340,experiment339,experiment338,experiment337,experiment336,experiment335,experiment334,experiment333,experiment332,experiment331,experiment330,experiment329,experiment328,experiment327,experiment326,experiment325,experiment324,experiment323,experiment322,experiment321,experiment320,experiment319,experiment318,experiment317,experiment316,experiment315,experiment314,experiment313,experiment312,experiment311,experiment310,experiment309,experiment308,experiment307,experiment306,experiment305,experiment304,experiment303,experiment302,experiment301,experiment300,experiment299,experiment298,experiment297,experiment296,experiment295,experiment294,experiment293,experiment292,experiment291,experiment290,experiment289,experiment288,experiment287,experiment286,experiment285,experiment284,experiment283,experiment282,experiment281,experiment280,experiment279,experiment278,experiment277,experiment276,experiment275,experiment274,experiment273,experiment272,experiment271,experiment270,experiment269,experiment268,experiment267,experiment266,experiment265,experiment264,experiment263,experiment262,experiment261,experiment260,experiment259,experiment258,experiment257,experiment256,experiment255,experiment254,experiment253,experiment252,experiment251,experiment250,experiment249,experiment248,experiment247,experiment246,experiment245,experiment244,experiment243,experiment242,experiment241,experiment240,experiment239,experiment238,experiment237,experiment236,experiment235,experiment234,experiment233,experiment232,experiment231,experiment230,experiment229,experiment228,experiment227,experiment226,experiment225,experiment224,experiment223,experiment222,experiment221,experiment220,experiment219,experiment218,experiment217,experiment216,experiment215,experiment214,experiment213,experiment212,experiment211,experiment210,experiment209,experiment208,experiment207,experiment206,experiment205,experiment204,experiment203,experiment202,experiment201,experiment200,experiment199,experiment198,experiment197,experiment196,experiment195,experiment194,experiment193,experiment192,experiment191,experiment190,experiment189,experiment188,experiment187,experiment186,experiment185,experiment184,experiment183,experiment182,experiment181,experiment180,experiment179,experiment178,experiment177,experiment176,experiment175,experiment174,experiment173,experiment172,experiment171,experiment170,experiment169,experiment168,experiment167,experiment166,experiment165,experiment164,experiment163,experiment162,experiment161,experiment160,experiment159,experiment158,experiment157,experiment156,experiment155,experiment154,experiment153,experiment152,experiment151,experiment150,experiment149,experiment148,experiment147,experiment146,experiment145,experiment144,experiment143,experiment142,experiment141,experiment140,experiment139,experiment138,experiment137,experiment136,experiment135,experiment134,experiment133,experiment132,experiment131,experiment130,experiment129,experiment128,experiment127,experiment126,experiment125,experiment124,experiment123,experiment122,experiment121,experiment120,experiment119,experiment118,experiment117,experiment116,experiment115,experiment114,experiment113,experiment112,experiment111,experiment110,experiment109,experiment108,experiment107,experiment106,experiment105,experiment104,experiment103,experiment102,experiment101,experiment100,experiment99,experiment98,experiment97,experiment96,experiment95,experiment94,experiment93,experiment92,experiment91,experiment90,experiment89,experiment88,experiment87,experiment86,experiment85,experiment84,experiment83,experiment82,experiment81,experiment80,experiment79,experiment78,experiment77,experiment76,experiment75,experiment74,experiment73,experiment72,experiment71,experiment70,experiment69,experiment68,experiment67,experiment66,experiment65,experiment64,experiment63,experiment62,experiment61,experiment60,experiment59,experiment58,experiment57,experiment56,experiment55,experiment54,experiment53,experiment52,experiment51,experiment50,experiment49,experiment48,experiment47,experiment46,experiment45,experiment44,experiment43,experiment42,experiment41,experiment40,experiment39,experiment38,experiment37,experiment36,experiment35,experiment34,experiment33,experiment32,experiment31,experiment30,experiment29,experiment28,experiment27,experiment26,experiment25,experiment24,experiment23,experiment22,experiment21,experiment20,experiment19,experiment18,experiment17,experiment16,experiment15,experiment14,experiment13,experiment12,experiment11,experiment10,experiment9,experiment8,experiment7,experiment6,experiment5,experiment4,experiment3,experiment2,experiment1,experiment0
0,30,26,7,39,37,24,31,26,39,22,17,21,24,17,28,12,26,10,39,14,16,18,5,22,10,26,30,22,9,37,32,34,20,4,7,23,11,33,15,5,36,12,28,5,17,17,18,39,17,30,20,36,28,27,24,14,7,30,20,9,22,25,16,27,35,35,24,27,20,24,35,11,9,16,25,39,28,6,5,29,23,24,13,30,24,22,34,39,3,28,6,15,26,28,20,34,9,39,28,31,8,4,14,5,22,18,29,24,35,14,32,33,22,5,8,28,26,35,8,7,26,21,34,32,39,21,38,10,24,22,12,30,20,12,22,39,26,33,33,28,13,28,39,10,28,22,36,22,5,36,34,35,34,35,39,32,20,33,21,20,39,15,28,25,39,26,37,28,39,34,24,28,20,38,27,12,31,16,26,39,8,23,39,6,29,22,28,19,18,10,36,39,39,39,27,29,26,28,20,3,7,22,9,16,6,3,28,12,18,34,31,34,28,36,25,9,24,16,30,36,18,24,36,16,5,27,16,18,30,20,30,31,35,18,6,35,21,28,17,34,34,10,35,27,12,15,22,24,17,22,28,34,22,33,25,24,9,39,30,31,35,26,16,27,19,35,20,12,38,27,25,22,15,4,5,39,20,22,37,19,39,7,34,27,18,27,27,18,34,3,19,28,6,22,27,10,8,12,17,29,30,5,20,21,17,3,36,22,37,20,25,23,14,39,28,15,19,24,10,20,24,10,19,24,13,3,32,37,26,10,35,22,15,25,15,24,26,31,12,29,8,28,23,26,16,30,12,11,8,7,21,18,6,11,34,39,27,22,7,37,24,24,27,16,17,22,11,14,14,8,12,7,35,13,16,39,26,36,7,18,22,19,22,29,23,26,22,39,39,8,12,36,37,36,27,39,10,34,8,8,12,9,33,25,29,27,28,27,12,35,34,14,24,23,3,26,22,22,30,12,16,35,8,17,18,3,18,11,5,31,36,5,9,18,10,39,32,22,24,37,34,29,10,24,38,8,33,32,32,15,6,19,33,22,11,26,31,24,7,16,31,23,27
1,14,27,7,26,36,15,33,36,39,22,17,28,25,29,26,18,22,17,39,16,16,31,5,30,7,27,36,20,11,37,32,34,5,8,15,24,21,31,15,3,36,12,28,5,18,17,18,39,26,30,22,34,30,27,25,14,25,14,30,9,21,24,5,31,38,35,24,39,16,23,9,10,9,13,17,39,30,6,22,33,38,24,28,25,23,22,35,39,3,28,4,8,26,19,11,34,7,39,32,34,16,10,14,7,24,18,29,25,35,21,32,35,17,30,12,30,26,33,8,20,26,23,34,29,16,19,39,9,24,22,12,30,10,11,22,39,24,35,29,26,13,32,39,22,26,17,36,18,4,15,34,36,32,27,39,32,18,28,21,20,39,15,26,23,39,28,34,28,7,34,25,39,20,39,27,18,31,19,28,39,17,15,25,4,23,22,8,14,21,11,36,39,22,39,14,25,5,30,21,3,5,22,11,16,10,3,28,12,6,25,37,21,39,37,25,23,26,24,30,36,23,26,35,37,5,26,29,18,30,20,23,33,36,30,5,36,16,27,21,32,34,38,39,20,29,16,22,26,10,19,24,34,24,33,33,18,18,39,31,31,13,33,10,25,17,36,24,10,30,12,21,26,13,14,31,39,20,26,38,22,39,8,6,26,18,27,27,30,39,3,19,30,20,20,28,7,6,10,9,29,35,7,20,16,19,23,37,24,38,20,23,23,5,31,28,19,9,33,12,24,12,11,19,24,36,3,15,33,21,10,34,28,17,25,13,22,22,30,11,26,8,22,24,28,18,28,12,19,8,8,19,9,4,11,14,8,27,4,8,38,18,26,27,16,17,21,12,14,18,7,12,5,35,7,33,8,6,36,7,30,17,37,20,27,25,27,29,39,39,28,12,32,11,36,28,39,10,34,8,6,16,27,14,27,29,28,29,32,18,35,35,12,20,23,3,35,39,16,30,31,20,37,8,6,17,3,22,11,5,35,33,7,16,38,12,22,26,17,18,31,32,17,10,7,13,39,6,36,31,9,6,22,26,39,3,28,33,23,32,24,26,22,27
2,32,27,7,26,37,34,13,28,14,24,28,30,40,30,22,14,25,10,40,16,40,37,5,26,24,23,31,22,11,38,25,31,3,12,20,11,21,7,13,3,37,12,31,5,30,35,18,32,16,22,22,26,40,31,30,14,17,24,18,29,21,26,18,32,5,37,22,31,16,16,37,15,40,40,18,40,30,6,22,29,4,24,13,25,27,21,38,26,22,28,35,10,26,32,24,35,7,40,34,35,18,20,12,20,10,20,30,22,39,19,34,39,29,26,9,32,28,33,24,20,28,22,36,33,16,11,4,9,24,28,18,32,8,34,24,40,27,36,33,8,15,30,40,22,24,17,34,20,3,15,32,36,18,26,40,34,22,31,23,21,40,19,28,24,40,28,37,28,7,35,27,28,20,37,28,19,33,38,28,40,17,33,23,4,29,23,30,14,21,10,36,19,29,38,32,31,7,26,24,3,5,17,26,16,10,32,28,12,13,34,31,21,40,37,26,27,27,22,22,36,18,26,35,16,14,27,30,9,30,22,32,34,36,31,5,9,22,26,21,21,32,38,39,30,31,9,26,22,19,17,27,36,20,29,31,26,20,31,28,20,13,31,16,29,7,36,22,9,5,34,26,26,20,22,19,40,32,26,36,24,40,20,6,26,19,28,28,13,40,3,24,31,24,16,36,14,26,10,9,5,27,9,24,24,19,22,31,22,39,22,24,23,13,30,32,20,9,33,22,25,12,12,22,26,20,4,30,33,21,14,35,30,17,26,20,22,23,29,10,26,8,6,24,9,18,28,12,19,8,8,22,16,5,12,14,40,24,4,26,38,26,10,26,16,20,21,12,13,19,7,5,7,14,5,29,20,9,38,22,30,18,37,16,27,27,6,20,40,40,28,10,20,27,37,26,27,15,34,10,10,18,27,27,27,37,29,30,38,37,35,34,12,24,23,13,36,30,16,13,22,20,38,8,6,22,3,20,11,5,35,34,7,16,38,12,22,27,12,24,30,33,35,10,26,40,40,11,35,31,9,6,19,25,22,13,28,39,27,32,24,28,24,30
3,33,27,7,26,32,33,25,38,14,24,40,28,41,28,41,18,26,10,41,35,41,21,19,19,13,23,31,24,11,39,13,35,5,12,15,24,9,9,4,3,37,13,31,9,18,25,24,32,26,23,28,36,32,31,36,38,26,13,32,39,23,12,16,31,9,37,25,26,16,20,35,15,18,41,18,41,31,6,24,28,31,24,9,30,27,25,32,27,6,28,41,10,10,28,24,35,20,28,38,34,16,14,15,7,3,20,31,22,37,19,41,37,29,16,12,33,26,33,9,32,30,29,38,36,16,13,38,20,9,28,30,31,10,40,24,38,25,37,33,30,19,10,41,23,26,20,31,24,3,37,36,37,20,26,22,19,24,30,23,20,41,21,28,6,41,30,25,30,7,31,33,30,20,38,29,16,37,36,22,41,9,29,17,5,28,25,32,14,19,15,37,21,37,30,33,31,7,32,20,3,5,36,22,17,10,34,17,28,36,38,31,30,41,38,27,28,28,24,20,32,15,26,38,10,20,30,29,12,22,22,36,35,36,26,5,38,22,29,23,33,32,38,39,31,33,38,20,20,19,19,34,36,16,30,30,22,20,30,28,20,22,27,15,8,7,36,26,9,30,33,25,27,19,14,32,16,34,25,36,20,41,17,20,22,22,28,27,13,41,41,30,31,26,20,37,13,25,16,12,5,23,7,38,28,19,32,40,23,39,22,33,23,14,32,32,16,9,29,12,26,11,11,20,25,32,4,37,38,24,24,35,26,41,27,20,28,23,40,12,39,8,22,23,7,20,28,13,19,14,8,19,17,5,3,34,41,36,4,13,38,26,11,29,20,20,22,36,22,28,14,4,6,9,35,10,9,22,39,18,16,18,39,22,26,39,32,31,28,12,32,10,40,39,37,26,6,14,36,10,10,16,29,27,27,39,11,26,38,29,35,37,12,26,17,25,38,41,17,16,24,21,35,8,32,18,4,19,18,5,35,34,11,9,32,16,30,28,12,3,30,41,19,10,3,12,33,7,36,32,28,8,17,25,22,11,28,40,23,32,24,28,26,33
4,33,24,7,22,28,33,25,41,14,18,38,30,25,31,26,18,26,27,42,35,20,30,5,28,16,23,8,24,8,40,12,36,9,12,17,9,9,33,4,3,37,12,31,10,31,25,24,42,28,34,28,40,32,30,36,39,42,9,33,29,24,18,14,17,37,37,30,27,32,22,13,10,18,16,20,17,21,8,28,29,24,22,9,30,15,25,39,42,7,29,42,10,10,30,28,28,14,24,34,37,10,10,15,12,5,20,32,22,41,19,42,41,39,18,12,34,28,33,13,24,30,23,38,35,16,11,4,8,9,28,30,32,13,40,24,38,35,38,33,19,15,31,42,12,32,20,38,34,4,38,37,38,20,37,24,19,20,35,23,28,42,21,11,26,42,31,37,32,26,35,42,28,8,38,31,16,39,36,26,42,17,7,15,18,25,25,30,14,23,15,37,26,30,39,36,31,10,27,27,3,6,38,28,19,10,36,25,16,33,36,34,24,28,39,28,35,28,24,19,32,9,27,24,38,21,32,30,11,28,22,36,35,37,26,7,11,22,33,23,22,12,38,30,34,35,38,18,26,19,8,26,32,13,34,6,27,22,40,33,33,32,35,11,10,13,38,21,7,32,31,22,21,32,3,33,16,32,34,36,23,42,24,14,17,21,28,24,28,42,42,24,31,26,16,38,15,26,10,14,31,7,7,39,25,22,34,40,23,39,11,25,23,14,36,33,19,10,33,16,28,16,11,20,25,5,3,33,33,28,14,37,34,17,26,19,22,23,29,10,39,8,7,25,7,18,27,13,17,8,12,27,18,5,12,34,42,36,10,13,39,24,28,25,22,20,22,11,24,24,18,34,5,8,36,8,20,11,40,18,20,14,39,5,28,26,33,25,28,11,28,6,36,40,35,33,23,10,36,10,11,22,29,17,31,29,16,26,38,27,26,37,18,24,18,25,5,42,16,13,22,22,19,36,16,19,19,21,11,5,36,34,17,14,33,14,28,30,16,3,37,23,25,12,24,34,33,7,40,33,28,8,24,33,42,5,30,33,21,34,20,25,22,33
5,16,31,7,22,28,36,15,40,15,22,42,34,23,33,24,18,28,27,43,33,26,37,5,26,13,20,34,22,20,41,5,33,9,12,17,9,9,35,6,3,43,34,33,22,18,19,26,34,18,36,26,38,32,35,38,38,43,24,23,14,30,21,16,35,8,37,24,12,34,20,41,15,24,43,31,17,28,8,26,24,4,22,7,34,27,25,37,20,7,38,33,10,29,30,30,31,28,28,32,43,10,10,12,19,5,24,33,23,41,16,43,41,40,18,13,36,30,33,13,24,26,35,40,37,17,13,6,34,9,28,21,32,18,42,10,38,24,38,29,33,15,39,28,24,32,20,31,31,3,40,34,39,20,33,30,20,20,29,27,20,34,32,9,28,43,29,41,32,27,14,42,25,16,39,4,12,39,40,26,43,17,37,22,5,29,16,32,14,23,20,37,23,39,40,35,28,10,30,27,5,6,40,24,17,43,36,28,16,38,27,28,22,43,39,25,37,29,27,26,31,9,25,28,39,20,32,30,11,36,22,37,37,41,33,8,9,24,35,24,36,17,43,30,27,28,40,13,26,19,17,38,31,10,36,31,30,21,37,31,32,33,37,16,8,13,39,24,7,37,33,31,30,21,3,31,18,35,30,43,30,43,18,6,23,24,28,24,28,38,31,25,32,27,16,38,15,8,12,20,22,29,7,25,30,21,34,34,26,39,16,25,24,22,34,32,20,13,35,16,34,30,11,15,25,24,4,16,33,28,17,38,34,17,28,8,10,24,43,12,41,10,22,24,21,18,25,13,13,6,10,20,26,7,12,35,43,28,9,32,40,25,29,19,24,20,17,11,22,26,20,6,5,7,11,10,16,28,41,15,30,14,39,5,26,21,12,33,28,24,32,8,37,21,6,33,27,13,36,10,12,24,15,17,33,41,11,28,40,20,37,39,24,25,18,25,5,43,18,13,26,22,19,36,6,20,19,22,11,29,37,36,13,16,4,16,28,30,22,29,33,30,25,8,25,34,35,29,40,33,28,8,23,11,20,10,29,33,21,23,20,29,13,33
6,36,31,7,24,28,36,23,40,16,22,40,34,29,33,26,16,28,12,43,18,26,41,5,26,15,22,34,24,7,41,12,40,39,14,17,25,17,35,8,34,43,13,32,30,18,27,18,34,28,28,26,38,24,35,36,42,6,13,35,17,27,20,14,35,39,37,26,27,33,20,31,10,22,22,28,13,31,8,28,25,4,22,9,34,27,17,33,22,5,32,33,10,30,32,38,36,28,30,36,38,18,12,16,22,10,22,33,22,39,16,43,42,34,28,14,37,28,11,13,24,26,22,40,23,17,36,38,23,12,28,21,32,20,42,10,39,24,36,32,35,22,33,26,25,30,24,31,27,4,40,42,37,19,32,27,25,20,41,29,10,29,24,11,27,12,29,39,32,28,14,43,34,17,40,33,12,20,42,28,43,17,37,15,19,31,19,34,13,23,15,38,43,22,42,36,29,10,30,25,5,6,40,37,16,20,37,36,15,39,38,31,18,43,39,25,29,31,28,22,33,8,27,26,18,20,28,32,11,34,38,37,34,42,28,9,11,24,6,26,22,21,38,38,23,34,41,22,22,15,7,32,43,22,38,31,29,22,37,35,31,32,37,22,21,13,39,26,7,37,37,29,31,24,16,27,18,36,30,42,26,43,16,13,18,20,29,29,29,43,35,26,32,28,26,40,18,8,18,15,27,30,8,39,28,22,34,35,28,41,16,26,37,22,34,32,19,13,37,17,23,32,11,23,22,23,3,34,34,28,10,40,32,43,27,19,31,21,41,16,41,12,10,9,19,20,25,14,13,20,10,25,26,5,20,36,43,31,9,14,38,26,30,31,24,24,21,10,23,24,16,6,5,40,11,32,32,41,43,11,40,14,22,13,31,19,10,23,27,24,32,8,29,32,35,29,28,18,36,10,9,24,15,19,35,41,23,28,41,29,21,34,23,20,27,29,18,43,16,13,26,22,14,8,31,20,21,24,30,24,43,36,12,17,36,16,28,30,13,31,33,24,27,10,24,35,35,6,21,35,28,10,18,11,22,16,30,43,30,30,22,37,26,35
7,23,29,7,24,39,38,28,32,20,22,42,36,44,33,28,18,27,34,7,18,24,31,5,26,18,25,9,24,10,43,15,43,27,14,17,31,28,37,8,36,44,13,35,15,18,28,26,34,29,37,38,26,9,33,34,40,44,10,38,32,30,12,17,19,40,30,34,19,24,19,6,14,24,38,29,21,31,8,28,26,4,22,12,35,29,15,31,16,18,22,33,10,11,32,32,37,22,34,38,40,20,22,18,9,12,26,33,34,40,22,38,35,7,30,14,38,30,35,20,38,20,26,26,31,17,38,44,36,12,30,21,34,18,40,28,40,26,38,31,30,20,13,32,30,30,26,36,31,5,41,39,37,20,37,9,26,24,33,30,25,36,22,11,27,18,31,36,34,29,25,37,34,22,41,33,12,17,42,28,36,21,40,17,8,30,17,34,13,21,24,39,25,44,38,34,29,10,29,21,7,7,13,19,9,20,38,34,16,40,39,32,28,44,41,31,37,31,26,22,34,9,27,30,42,20,29,34,7,30,24,14,34,42,35,5,12,28,41,26,22,27,39,32,23,30,41,41,20,16,7,38,29,22,37,4,28,22,38,33,24,36,37,11,21,41,34,26,7,38,38,29,32,24,14,37,18,38,32,44,30,44,18,41,18,25,31,25,32,44,35,24,15,30,26,40,14,43,18,16,33,9,7,31,34,22,36,36,30,41,17,31,24,21,34,32,19,11,39,17,20,32,5,21,25,34,3,17,36,28,10,41,34,44,27,21,30,30,42,18,41,12,10,7,18,21,25,14,15,6,14,13,28,9,17,34,10,28,9,26,38,26,30,16,24,23,21,6,28,34,16,14,38,33,11,24,16,41,42,22,20,29,17,5,32,19,35,28,28,24,32,6,31,41,6,37,20,14,37,12,10,18,13,21,35,41,26,28,38,41,21,34,20,22,27,33,18,44,24,15,28,22,24,8,22,19,4,24,11,26,24,36,17,13,37,14,30,30,24,31,35,9,27,8,7,36,35,11,22,33,12,35,24,14,44,18,30,43,26,5,30,35,13,34
8,33,28,30,24,38,38,29,34,20,13,43,36,29,29,32,14,26,35,7,17,24,23,5,25,18,25,10,26,10,39,5,41,27,14,11,32,38,37,19,36,45,25,34,15,18,28,15,38,32,42,28,24,18,23,34,44,45,6,23,32,30,23,22,23,44,21,34,12,36,20,6,10,20,45,23,21,29,8,28,31,4,3,12,23,29,15,31,12,3,36,28,21,30,34,40,38,22,26,34,38,22,12,18,9,12,26,38,27,45,22,42,17,45,24,13,35,29,36,22,38,18,27,26,38,18,10,40,40,13,28,21,34,12,44,32,40,41,40,31,34,20,13,30,30,32,27,38,29,5,42,39,26,20,35,29,26,28,43,30,28,27,36,13,30,14,33,34,34,30,39,38,34,5,41,34,12,36,43,32,45,20,40,23,17,33,20,34,13,25,25,34,25,41,39,18,3,11,40,27,6,7,41,20,9,18,24,38,16,27,39,42,20,45,42,32,25,12,26,23,38,23,29,30,42,17,30,33,7,30,25,15,34,37,33,5,32,26,37,28,22,28,41,33,10,36,41,42,20,21,19,38,37,34,40,40,30,23,34,11,24,34,35,11,21,42,26,24,8,5,40,31,26,17,14,29,14,38,32,45,36,45,16,41,18,25,33,26,37,40,35,28,15,31,28,41,19,40,12,20,34,32,7,28,26,23,36,37,30,41,17,27,39,22,38,34,21,14,39,17,22,32,5,24,25,34,3,34,36,28,10,34,28,45,29,21,30,17,45,12,43,10,10,7,24,21,29,15,12,18,14,19,28,5,15,34,14,32,28,31,38,26,31,31,22,22,23,6,40,37,18,6,7,8,12,32,34,30,36,24,16,28,41,5,33,18,36,25,30,28,32,6,25,31,6,38,11,10,36,10,10,18,13,42,34,33,28,31,39,30,15,32,28,8,29,33,18,10,18,14,32,20,24,40,23,19,6,25,21,34,24,36,17,13,37,14,36,30,23,13,35,34,21,20,7,45,38,13,17,34,12,32,13,10,45,18,30,25,30,19,30,33,26,7
9,34,33,16,24,40,40,30,34,20,18,45,29,12,7,30,11,27,35,46,18,24,27,5,26,18,20,42,26,10,44,30,43,9,9,17,31,42,39,7,35,46,14,32,32,24,27,15,38,38,43,28,28,18,37,36,40,34,9,39,34,30,21,25,24,44,21,34,45,30,21,17,10,20,40,22,46,28,4,22,31,4,3,32,44,31,29,31,21,3,38,31,25,40,34,40,37,21,26,34,39,20,18,17,15,16,24,19,27,11,22,38,35,7,20,13,36,32,35,20,42,22,35,38,46,18,10,6,40,12,30,24,35,15,44,28,40,41,40,34,8,21,13,30,30,32,30,33,31,5,43,32,43,17,39,31,27,28,37,38,28,28,36,15,26,14,33,29,38,30,41,33,34,17,37,35,14,33,44,38,44,19,28,21,28,31,19,8,13,24,24,26,25,42,39,36,16,10,40,26,6,8,42,20,19,20,39,38,16,27,38,38,19,46,43,31,29,12,24,26,38,31,30,30,43,11,27,34,7,32,15,33,31,22,34,9,33,26,35,26,23,29,45,33,32,37,43,42,18,15,19,41,21,26,40,40,30,19,38,33,24,34,39,15,22,42,31,26,9,32,26,31,26,40,6,39,14,38,33,46,32,36,16,17,16,25,33,27,33,42,15,26,14,32,30,7,16,41,12,20,29,34,6,27,25,21,34,11,7,41,20,27,39,36,36,34,22,14,37,15,24,30,10,31,28,38,3,34,37,32,10,42,30,46,29,21,30,34,46,16,10,21,10,12,20,21,31,15,13,18,14,42,30,9,13,16,15,42,6,32,46,28,31,33,30,21,23,42,40,39,16,35,42,33,13,30,32,31,36,24,41,17,34,5,32,13,38,36,30,28,34,6,39,32,6,31,13,10,38,10,10,10,15,39,43,43,30,30,42,30,33,40,25,16,23,27,18,21,20,3,20,25,19,40,23,20,25,17,11,38,23,36,17,13,46,16,38,34,26,13,35,17,37,22,25,14,39,11,17,35,36,30,17,14,46,19,32,24,3,34,32,27,13,12
