,0
0,"[0.038093980221224566, 0.038093980221224566, 1.0]"
1,"[0.05898129943153618, 0.011905839385320305, 4.953980775539364]"
2,"[0.11087856384972694, 0.02644021276455577, 4.193557927732123]"
3,"[0.2579156474730445, 0.0013311831810963737, 193.74917827659377]"
4,"[0.12165396136309803, 0.030249543723148253, 4.0216792185861365]"
5,"[0.23643512855969306, 0.016138371420613362, 14.650494922783665]"
6,"[0.34655916482756777, 0.055126703815415734, 6.286593263184644]"
7,"[0.1363247743552235, 0.0024819139798504253, 54.9272760708005]"
8,"[0.10715541987605304, 0.022202837254104546, 4.826203905820354]"
9,"[0.05428496274828287, 0.010119624384491432, 5.364325856943454]"
10,"[0.13596922556833935, 0.014577044011852003, 9.32762674365175]"
11,"[0.10190224078697452, 0.019214229525994497, 5.303477854738504]"
12,"[0.1391025263930612, 0.0005031556971326623, 276.46020344351854]"
13,"[0.17549074564750322, 0.03882648110832698, 4.5198725364237635]"
14,"[0.17543734796818644, 0.002033716655293727, 86.26440045693006]"
15,"[0.13020966720188332, 0.005445609636072768, 23.910944027157104]"
16,"[0.19739614637710579, 0.011898157951028443, 16.590479567473167]"
17,"[0.1681459985599858, 0.005546330166943392, 30.316622613300325]"
18,"[0.007822894776392086, 0.007822894776392086, 1.0]"
19,"[0.29234397131292256, 0.09028348114385742, 3.238067114925515]"
20,"[0.3568235283664185, 0.00728966683327581, 48.94922313014272]"
21,"[0.23266874107147384, 0.016403923419642252, 14.1837251442465]"
22,"[0.09781316509046534, 0.03690613363861717, 2.6503227362759394]"
23,"[0.1369422746909481, 0.1369422746909481, 1.0]"
24,"[0.27672782187986666, 0.11309119941966872, 2.4469439116386136]"
25,"[0.11968746211463588, 0.012123148983121057, 9.872638064687283]"
26,"[0.23572930817637128, 0.07632199665067829, 3.0886155829398927]"
27,"[0.18522204631521522, 0.09794521677279855, 1.8910780170599948]"
28,"[0.20345756313683583, 0.15667346884641808, 1.2986089133973198]"
29,"[0.11673532689409405, 0.08846856425517569, 1.319511940505632]"
30,"[0.4086561482626798, 0.059073620546067795, 6.917743393499889]"
31,"[0.5150792906924009, 0.09107756036937698, 5.655391828716419]"
32,"[0.4471168431012498, 0.27212754891424584, 1.6430414520146486]"
33,"[0.6741864841902907, 0.290989852508148, 2.3168728338092572]"
34,"[0.7032936562399765, 0.3544322325705662, 1.9842824427655665]"
35,"[0.7537882158610048, 0.35826245182381156, 2.1040112130748976]"
36,"[0.7399434017995119, 0.2561459071578338, 2.8887574664371596]"
37,"[0.7614376443772862, 0.3654637781771135, 2.083483206393913]"
38,"[0.7652795960425488, 0.3739472435735647, 2.0464908063749356]"
39,"[0.7662594417180788, 0.4383958399665526, 1.7478711517347896]"
40,"[0.7859609646149113, 0.36613457409585926, 2.146645032241985]"
41,"[0.7880846539592439, 0.3871119055461427, 2.035805777782534]"
42,"[0.7967836906558344, 0.4247842907630901, 1.8757371870425763]"
43,"[0.8095260128405959, 0.4258115367094566, 1.9011368717164623]"
44,"[0.8747993577192987, 0.22284461327061456, 3.9256024405533805]"
45,"[0.8574966601181049, 0.18043053867073278, 4.752502910180567]"
46,"[0.8687343459609129, 0.2316798055740279, 3.7497197643466125]"
47,"[0.8693861845251034, 0.2202176781508718, 3.9478492000514342]"
48,"[0.8643074504023007, 0.36293356278231803, 2.3814481189790073]"
49,"[0.8598082102971314, 0.3723319927515629, 2.3092514933865353]"
50,"[0.8806344286464678, 0.44038305948987855, 1.9997009641255459]"
51,"[0.9142489053707445, 0.4397584944371127, 2.0789795238429125]"
52,"[0.9186142516371649, 0.43870219860526816, 2.0939358283538216]"
53,"[0.9188439449905619, 0.5047002082899961, 1.820573738425332]"
54,"[0.9064017411836633, 0.4441462041321589, 2.040773359652438]"
55,"[0.9042007759839924, 0.48818578149271175, 1.8521653236586355]"
56,"[0.9344910324389579, 0.4898624057730958, 1.9076602356617953]"
57,"[0.9442822775732201, 0.49328500902122707, 1.9142732098160837]"
58,"[0.9514825463468926, 0.49210755469309286, 1.9334849409907817]"
59,"[0.9559102219476816, 0.49394170731629616, 1.9352692995725573]"
60,"[0.9600250034793496, 0.49160331862358553, 1.9528448387355755]"
61,"[0.9726968154946966, 0.4922706037999278, 1.9759392658961756]"
62,"[0.9733008477882246, 0.4939965022099755, 1.97025858165797]"
63,"[0.9765058457896878, 0.49663293759485794, 1.9662526825522384]"
64,"[0.9801496080569974, 0.4974463640345297, 1.9703623926557867]"
65,"[0.9926729785708683, 0.49769634557277254, 1.9945353977402691]"
66,"[0.9934931683434074, 0.4978313986225664, 1.9956418399728733]"
67,"[0.993802541162703, 0.49851040121560364, 1.9935442444918767]"
68,"[0.9954829307971172, 0.4986669988982959, 1.9962879697201457]"
69,"[0.999760596901748, 0.4984535982447653, 2.005724505595436]"
70,"[0.9997841170744878, 0.4813162993293041, 2.077187326644971]"
71,"[0.9997930179870829, 0.536287928648647, 1.86428402464025]"
